Models,LSTM + wo,,LSTM + attn + wo,,LSTM + attn,,LSTM + attn + wo + deli,,3LSTM + attn + wo + deli
vintage,AUC,,AUC,,AUC,,AUC,,AUC
2016 Q1,0.804020101,,0.869346734,,0.824120603,,0.879396985,,0.947236181
2016 Q2,0.803468208,,0.930635838,,0.895953757,,0.936416185,,0.953757225
2016 Q3,0.529761905,,0.767857143,,0.919642857,,0.779761905,,0.895833333
2016 Q4,0.549569042,,0.584550033,,0.830750051,,0.849861049,,0.833687763
2017 Q1,0.700782803,,0.626013372,,0.661888926,,0.54704444,,0.815884445
2017 Q2,0.699953571,,0.675217315,,0.739452277,,0.787841853,,0.939315147
2017 Q3,0.713191489,,0.905531915,,0.868085106,,0.923404255,,0.921702128
2017 Q4,0.642869084,,0.663723602,,0.877434676,,0.851770125,,0.960388679
2018 Q1,0.636009294,,0.798186873,,0.87826663,,0.793167815,,0.906723188
2018 Q2,0.758253568,,0.910591688,,0.875136175,,0.885712162,,0.829241461
2018 Q3,0.506023873,,0.680194813,,0.701126437,,0.739,,0.91495756
2018 Q4,0.669394262,,0.810736401,,0.807826143,,0.817707873,,0.892753213
2019 Q1,0.602051964,,0.805903851,,0.788399372,,0.799123331,,0.870621243
2019 Q2,0.505046977,,0.761056301,,0.691368483,,0.780676827,,0.858958352
2019 Q3,0.671419098,,0.718943413,,0.710985853,,0.724801061,,0.841511936
2019 Q4,0.588934864,,0.83772165,,0.775573447,,0.868898323,,0.881273412
2020 Q1,0.573434856,,0.84856176,,0.831979695,,0.9,,0.900084602
2020 Q2,0.92139738,,0.541484716,,0.558951965,,0.598253275,,0.934796778
2020 Q3,0.874458874,,0.965367965,,0.985569986,,0.991341991,,0.975468975
2020 Q4,0.922272048,,1,,1,,0.955156951,,0.914798206
2021 Q1,0.590594744,,1,,0.991701245,,0.972337483,,0.998616874
2021 Q2,0.681340489,,0.867215887,,0.800883224,,0.809449941,,0.897255297
2021 Q3,0.657868536,,0.918169113,,0.895584673,,0.887098107,,0.943466242
2021 Q4,0.562749369,,0.941470456,,0.922684369,,0.977450472,,0.99785292
2022 Q1,0.536724118,,0.727638593,,0.943289505,,0.675909145,,0.940310353
2022 Q2,0.552960014,,0.972576288,,0.973422247,,0.682633008,,0.87561056
2022 Q3,0.718735159,,0.816659042,,0.835276198,,0.573414955,,0.791871265
2022 Q4,0.708013138,,0.515522823,,0.702931734,,0.798038507,,0.83777821
2023 Q1,0.57944664,,0.706324111,,0.636758893,,0.910671937,,0.927667984
2023 Q2,0.790265487,,0.848672566,,0.786725664,,0.801769912,,0.832300885
2023 Q3,0.530995935,,0.539126016,,0.543191057,,0.956300813,,0.923780488
2023 Q4,0.838654747,,0.788846318,,0.770114943,,0.933163048,,0.852703278
2024 Q1,0.80988787,,0.806829766,,0.852191641,,0.727319062,,0.867482161
2024 Q2,0.884202454,,0.847776074,,0.88190184,,0.87154908,,0.892883436
