Models,LSTM + wo,,LSTM + attn + wo,,LSTM + attn,,LSTM + attn + wo + deli,,3LSTM + attn + wo + deli,,
vintage,Brier Score,,Brier Score,,Brier Score,,Brier Score,,Brier Score,,
2004 Q1,0.000500761,,0.000486153,,0.00050013,,0.000482883,,0.000433474,,
2004 Q2,0.000505212,,0.00049838,,0.000504561,,0.000494856,,0.000476786,,
2004 Q3,0.000467749,,0.00045633,,0.00046799,,0.000455647,,0.000433441,,
2004 Q4,0.000502431,,0.000496439,,0.000501516,,0.000494621,,0.000453524,,
2005 Q1,0.000543106,,0.00053391,,0.000542595,,0.000532025,,0.0004955,,
2005 Q2,0.000538845,,0.000532062,,0.000538249,,0.00053204,,0.000493477,,
2005 Q3,0.000578175,,0.000563878,,0.000577761,,0.000561632,,0.000488147,,
2005 Q4,0.000687469,,0.000673725,,0.000687465,,0.000671775,,0.000622545,,
2006 Q1,0.000800364,,0.000781944,,0.000799922,,0.000774619,,0.000705274,,
2006 Q2,0.000786794,,0.000772929,,0.000786917,,0.000770122,,0.000703412,,
2006 Q3,0.00083501,,0.000820943,,0.000834808,,0.000819208,,0.000766654,,
2006 Q4,0.000937854,,0.00092018,,0.00093656,,0.000916736,,0.000833342,,
2007 Q1,0.000875051,,0.000859654,,0.000874428,,0.000855979,,0.000794808,,
2007 Q2,0.001013806,,0.001003042,,0.001013088,,0.001000442,,0.000920943,,
2007 Q3,0.001086388,,0.001062036,,0.0010847,,0.001058605,,0.000942487,,
2007 Q4,0.001186571,,0.001179125,,0.001186061,,0.001176435,,0.001095676,,
2008 Q1,0.000811174,,0.000790621,,0.00080983,,0.000785446,,0.000725959,,
2008 Q2,0.000871561,,0.000853064,,0.000871405,,0.00084801,,0.000785952,,
2008 Q3,0.000875399,,0.000848781,,0.000875254,,0.000842548,,0.000763002,,
2008 Q4,0.000750861,,0.000735051,,0.000750288,,0.000732307,,0.000653908,,
2009 Q1,0.000164892,,0.000164731,,0.00016476,,0.000164753,,0.000164066,,
2009 Q2,0.000175759,,0.000175624,,0.000175644,,0.000175621,,0.000172436,,
2009 Q3,0.000226274,,0.000221738,,0.000226352,,0.000220275,,0.000189535,,
2009 Q4,0.000207927,,0.000201355,,0.000207963,,0.000199313,,0.000184037,,
2010 Q1,0.000226208,,0.000224739,,0.000226347,,0.000224321,,0.000217121,,
2010 Q2,0.000242019,,0.00024015,,0.000242446,,0.000239836,,0.000218327,,
2010 Q3,0.00014238,,0.00014231,,0.000142648,,0.00014228,,0.000141877,,
2010 Q4,8.19E-05,,8.06E-05,,8.20E-05,,8.06E-05,,7.40E-05,,
2011 Q1,0.000140476,,0.000137877,,0.000140435,,0.000137451,,0.000123923,,
2011 Q2,0.000154669,,0.000150788,,0.000155006,,0.000149522,,0.00013516,,
2011 Q3,0.000136438,,0.000132518,,0.00013674,,0.000131123,,0.000113743,,
2011 Q4,6.86E-05,,6.07E-05,,6.90E-05,,5.83E-05,,4.57E-05,,
2012 Q1,7.81E-05,,7.80E-05,,7.83E-05,,7.80E-05,,7.89E-05,,
2012 Q2,0.000148655,,0.000148162,,0.000149037,,0.000148195,,0.000140649,,
2012 Q3,7.09E-05,,6.85E-05,,7.12E-05,,6.78E-05,,4.58E-05,,
2012 Q4,7.28E-05,,7.27E-05,,7.27776E-05,,7.28E-05,,7.35E-05,,
2013 Q1,1.00E-04,,9.99E-05,,9.99357E-05,,9.99E-05,,9.98E-05,,
2013 Q2,8.90E-05,,8.44E-05,,8.91E-05,,8.35E-05,,6.39E-05,,
2013 Q3,8.37E-05,,8.13E-05,,8.37E-05,,8.12E-05,,7.50E-05,,
2013 Q4,0.000149348,,0.000139188,,0.000149573,,0.000136183,,0.000128378,,
2014 Q1,0.000158928,,0.000152352,,0.000159299,,0.000150626,,0.000126604,,
2014 Q2,0.000246328,,0.000235756,,0.000247047,,0.000235756,,0.000200426,,
2014 Q3,0.000180768,,0.000167317,,0.000181382,,0.000163415,,0.000159206,,
2014 Q4,0.000163961,,0.000163943,,0.000164581,,0.000163941,,0.000163478,,
2015 Q1,0.000248666,,0.000246156,,0.000248855,,0.000245131,,0.00022054,,
2015 Q2,0.000190703,,0.000189902,,0.000191224,,0.000189862,,0.000184949,,
2015 Q3,0.000175769,,0.000175301,,0.000176167,,0.000175284,,0.000170692,,
2015 Q4,0.000269361,,0.0002692,,0.00026948,,0.000268991,,0.000258848,,
