Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2004 Q1,0.003460305,0.196558075,0.003446206,0.199831673,0.004272369,0.008006298,0.004519685,-0.049417654,0.003323727,0.228269847,0.001967259,0.543225582
2004 Q2,0.003930391,0.095029902,0.00391578,0.098394082,0.004105516,0.054707561,0.004510808,-0.038610864,0.003841581,0.11547824,0.00263782,0.392643499
2004 Q3,0.003511111,0.134266732,0.003508497,0.134911356,0.004051627,0.000991833,0.004157101,-0.02501471,0.003644009,0.101498251,0.002210377,0.454988195
2004 Q4,0.003658023,0.152274873,0.003664289,0.150822827,0.00427999,0.008137741,0.00439565,-0.018665902,0.003580268,0.170294135,0.002259588,0.47635398
2005 Q1,0.003882999,0.161102544,0.003892494,0.159051146,0.004109628,0.11214066,0.004665373,-0.007924562,0.003781644,0.182999527,0.002592572,0.439891239
2005 Q2,0.00439273,0.042930787,0.004375441,0.046697431,0.004540421,0.010752335,0.00453171,0.012650193,0.004201028,0.084697951,0.003026258,0.340651836
2005 Q3,0.004067557,0.168674877,0.004082191,0.16568413,0.004604348,0.05896588,0.004958761,-0.013468819,0.003992036,0.184109819,0.001962179,0.598970993
2005 Q4,0.005153972,0.095384242,0.005201409,0.087058077,0.005457134,0.042173739,0.00557582,0.021342187,0.005208472,0.085818374,0.002983158,0.476401449
2006 Q1,0.005425945,0.166818344,0.005404747,0.170073428,0.006185331,0.050210721,0.006428608,0.01285421,0.005329875,0.181570299,0.003069278,0.528696682
2006 Q2,0.00534326,0.16764229,0.005339899,0.168165809,0.006160312,0.040364184,0.006354503,0.010113671,0.005230187,0.185256433,0.003035699,0.527107536
2006 Q3,0.006089238,0.098680093,0.00608341,0.099542745,0.006497355,0.038271193,0.006629944,0.018645626,0.006244074,0.075761469,0.003716227,0.44992968
2006 Q4,0.006798721,0.09139398,0.006807723,0.090190872,0.007251002,0.030949497,0.007478452,0.000552203,0.006873201,0.081440183,0.003960906,0.470649983
2007 Q1,0.006196059,0.120223644,0.006260635,0.111054482,0.006788308,0.036130342,0.006956146,0.012299182,0.006104558,0.133215896,0.003729889,0.470394289
2007 Q2,0.007143993,0.10833789,0.007166858,0.105484029,0.007762501,0.031140208,0.007924791,0.010884357,0.007053761,0.119600057,0.004135356,0.483854503
2007 Q3,0.007831701,0.079989076,0.00784492,0.078436202,0.00816208,0.041178467,0.008633332,-0.014180712,0.007825265,0.080745074,0.003940894,0.537052571
2007 Q4,0.008804736,0.042310203,0.008853408,0.037016174,0.00888504,0.033575514,0.009234587,-0.004444655,0.008665874,0.057414156,0.004912745,0.465641497
2008 Q1,0.005718,0.132437249,0.005762773,0.125644046,0.006409327,0.027545704,0.00664688,-0.008497017,0.005638123,0.144556535,0.003178401,0.517757487
2008 Q2,0.005742843,0.181421561,0.005899904,0.159034193,0.006537809,0.068107959,0.006843688,0.024508227,0.006145585,0.124015125,0.004047082,0.423133372
2008 Q3,0.005972439,0.153109235,0.00596828,0.153698891,0.006768789,0.040186989,0.007186654,-0.019066255,0.006113376,0.133124351,0.003470738,0.507850002
2008 Q4,0.0056251,0.087456566,0.005694525,0.076194024,0.005901516,0.042614399,0.006335267,-0.027751727,0.005528211,0.103174606,0.002757706,0.552625508
2009 Q1,0.001625442,-0.01562694,0.001605929,-0.003434702,0.001571334,0.018181117,0.001964402,-0.227419674,0.001614242,-0.008629009,0.001177527,0.26424455
2009 Q2,0.001707182,-0.00652057,0.001720478,-0.014359352,0.0017343,-0.022508455,0.002109808,-0.243900379,0.001699095,-0.001752445,0.000993897,0.414018583
2009 Q3,0.001952509,0.08049279,0.001995212,0.060382668,0.002193008,-0.03276701,0.002372227,-0.117167712,0.002096729,0.012574694,0.001075188,0.49365523
2009 Q4,0.001853424,0.059555012,0.001872424,0.049914396,0.002034614,-0.032382349,0.002330084,-0.182306436,0.001788345,0.092577002,0.000948435,0.51875522
2010 Q1,0.0020819,0.020415975,0.002088704,0.017214357,0.002115869,0.004432635,0.002468749,-0.16160568,0.002111488,0.006494297,0.00104877,0.506528618
2010 Q2,0.002047622,0.093010358,0.002043106,0.095010591,0.00223585,0.009635043,0.002543352,-0.126572358,0.00195322,0.134825194,0.001043321,0.537863031
2010 Q3,0.001416347,-0.009273319,0.001427059,-0.016905868,0.001457764,-0.038786265,0.001905455,-0.357805963,0.001417879,-0.010364619,0.00093968,0.330394806
2010 Q4,0.000696143,0.183907667,0.000714193,0.16274705,0.000957716,-0.122736994,0.001441841,-0.690280033,0.00056394,0.338889561,0.000329337,0.613916439
2011 Q1,0.001262726,0.089726837,0.001256917,0.093915001,0.00145912,-0.051849403,0.001907105,-0.374792499,0.001149557,0.171308058,0.000605848,0.563256924
2011 Q2,0.001274415,0.156812549,0.001286266,0.148971724,0.001576771,-0.043233796,0.001981641,-0.311106916,0.001152487,0.237483981,0.000707344,0.532002467
2011 Q3,0.001107184,0.180711108,0.001108237,0.17993242,0.001338555,0.009502476,0.001872593,-0.385672376,0.00101441,0.249362163,0.0006001,0.55594104
2011 Q4,0.000546605,0.248058645,0.000564197,0.223858221,0.000785479,-0.080549705,0.000876746,-0.206101976,0.000378358,0.479508482,0.000169288,0.767117235
2012 Q1,0.000800957,0.018833412,0.000793572,0.027879151,0.000825409,-0.0111208,0.001487563,-0.822254364,0.000732425,0.102783985,0.000541106,0.337148485
