Models,Linear DTSM,,Linear DTSM+MEV,,DeepHit,,DeepHit+MEV,,3LSTM,,3LSTM+MEV,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2004 Q1,0.003460305,0.196558075,0.003457714,0.197159551,0.003323727,0.228269899,0.003560304,0.173339423,0.001967259,0.543225613,0.001988769,0.538231441
2004 Q2,0.003930391,0.095029902,0.003924858,0.096303881,0.003841581,0.115478205,0.003888384,0.104701979,0.00263782,0.392643475,0.002101888,0.516041492
2004 Q3,0.003511111,0.134266732,0.00351823,0.132511349,0.003644009,0.101498272,0.003401494,0.161295047,0.002210377,0.454988207,0.002200984,0.457304151
2004 Q4,0.003658023,0.152274873,0.003637698,0.156985227,0.003580268,0.17029423,0.003533048,0.181237109,0.002259588,0.47635404,0.002352107,0.454913178
2005 Q1,0.003882999,0.161102544,0.003989498,0.138093993,0.003781644,0.182999531,0.004154992,0.102340128,0.002592572,0.439891242,0.00255645,0.447695166
2005 Q2,0.00439273,0.042930787,0.004395162,0.042400944,0.004201028,0.084698023,0.004002434,0.127966881,0.003026258,0.340651888,0.00254941,0.444545378
2005 Q3,0.004067557,0.168674877,0.004064959,0.16920597,0.003992036,0.184109806,0.003526055,0.279346898,0.001962179,0.598970987,0.001897216,0.612248129
2005 Q4,0.005153972,0.095384242,0.005135636,0.098602529,0.005208472,0.085818405,0.004675854,0.179302496,0.002983158,0.476401466,0.002762776,0.515082547
2006 Q1,0.005425945,0.166818344,0.005412349,0.168905969,0.005329875,0.181570279,0.004943604,0.240884169,0.003069278,0.528696671,0.002652845,0.592642023
2006 Q2,0.00534326,0.16764229,0.005374621,0.162756892,0.005230187,0.185256429,0.005065523,0.21090726,0.003035699,0.527107534,0.002837579,0.557970115
