Models,LSTM + wo,,LSTM + attn + wo,,LSTM + attn,,LSTM + attn + wo + deli,,3LSTM + attn + wo + deli,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2016 Q1,0.00175367,0.254001654,0.00148834,0.366871181,0.00227197,0.033520508,0.001593903,0.321965288,0.001432251,0.390731066
2016 Q2,0.001753668,0.025157405,0.001627519,0.095281828,0.002034667,-0.131046552,0.001542075,0.142778966,0.001362187,0.242776797
2016 Q3,0.001460732,0.162433046,0.001245177,0.286029713,0.001611219,0.076145533,0.001207661,0.307541116,0.001015297,0.417840462
2016 Q4,0.002360672,0.030043868,0.00225557,0.073228346,0.002099416,0.137389364,0.002073041,0.148226123,0.001638325,0.32684295
2017 Q1,0.003354302,0.299658728,0.003119017,0.348783572,0.003626172,0.242895203,0.002976052,0.378633206,0.002405387,0.497781644
2017 Q2,0.003686927,0.059492552,0.003502536,0.10652923,0.003917179,0.000756935,0.003246256,0.171904238,0.00262617,0.330083654
2017 Q3,0.003422858,0.17374927,0.003090649,0.253941755,0.003939197,0.049109147,0.002948447,0.28826824,0.002434621,0.412301754
2017 Q4,0.004085984,0.112156438,0.003611959,0.215157364,0.00428106,0.069768303,0.003158655,0.313655667,0.002504455,0.455806948
2018 Q1,0.003790715,0.129753088,0.003382292,0.223516064,0.003955614,0.091896564,0.003207806,0.263573317,0.002536449,0.417699077
2018 Q2,0.003619949,0.174599075,0.003072507,0.299423959,0.004093733,0.066569468,0.003052095,0.304078027,0.002680857,0.388725784
2018 Q3,0.004460789,0.118615538,0.004019736,0.205760867,0.004889171,0.033973741,0.003840169,0.24124063,0.00301468,0.404344734
2018 Q4,0.005244172,0.037465638,0.004808539,0.11742335,0.005727424,-0.051232249,0.004715826,0.134440132,0.003697002,0.321438846
2019 Q1,0.005725052,0.008859368,0.005249157,0.091247902,0.006160553,-0.066536061,0.004899519,0.151778508,0.003889086,0.326708192
2019 Q2,0.005782929,0.118513208,0.005151968,0.214689946,0.00620721,0.053840409,0.004888573,0.254839078,0.004000169,0.390257754
2019 Q3,0.00423282,0.163714138,0.003491838,0.310111182,0.004567784,0.097534718,0.003365176,0.335136025,0.002881965,0.430604926
2019 Q4,0.00473874,0.121461022,0.003951217,0.267463848,0.004760308,0.117462429,0.00422802,0.216145983,0.003208347,0.405188328
2020 Q1,0.005405113,0.12825697,0.004353741,0.297823493,0.005115072,0.175035162,0.004141181,0.332105322,0.003642163,0.412587621
2020 Q2,0.001083419,-0.026495839,0.001375737,-0.303455533,0.001233401,-0.168597583,0.001158497,-0.097629349,0.000713803,0.32370093
2020 Q3,0.000987924,0.033209441,0.000902815,0.116497416,0.00089054,0.128510082,0.000834162,0.183681459,0.000579961,0.432445452
2020 Q4,0.000899383,0.147074489,0.00053918,0.488671438,0.000821583,0.220855039,0.00080897,0.232816935,0.000680034,0.355092846
2021 Q1,0.001053736,-0.00892062,0.000520791,0.501358307,0.000847876,0.188183847,0.000750535,0.28138523,0.00051536,0.50655816
2021 Q2,0.001676181,0.069328194,0.002074542,-0.151854991,0.001912904,-0.062108509,0.001158042,0.357016455,0.001158042,0.357016455
2021 Q3,0.001638533,0.082498342,0.001606563,0.100400218,0.001783271,0.001452207,0.001626028,0.089500924,0.001174584,0.342288098
2021 Q4,0.001656365,0.047790361,0.001279465,0.264462095,0.001581508,0.090824008,0.001046025,0.398662103,0.000727669,0.581678541
2022 Q1,0.002019455,-0.180586569,0.002009645,-0.174851561,0.001573629,0.080046328,0.001920172,-0.122545225,0.001109138,0.35159037
2022 Q2,0.002590926,-0.141773801,0.002324539,-0.024381835,0.002105653,0.072076854,0.002256791,0.005473295,0.001375091,0.394022239
2022 Q3,0.004554413,-0.049955718,0.004364281,-0.006123578,0.004263245,0.017168824,0.003895108,0.102037656,0.002777982,0.359575379
2022 Q4,0.003781321,0.154631685,0.003698858,0.17306748,0.004872315,-0.089275365,0.003531525,0.210477191,0.002844834,0.36399685
2023 Q1,0.003532523,0.106521735,0.003494168,0.116222719,0.004191849,-0.060241076,0.003066591,0.224369577,0.002336631,0.408997739
2023 Q2,0.002821132,0.1466919,0.002842033,0.140369915,0.004231971,-0.28004473,0.002870738,0.1316875,0.002097345,0.365615828
2023 Q3,0.002599934,-0.003154992,0.002365637,0.087245896,0.003824263,-0.475548316,0.002259391,0.128239669,0.00179796,0.306277442
2023 Q4,0.002608403,0.038961754,0.002571934,0.052398223,0.003855635,-0.420567541,0.002451039,0.096940632,0.002522052,0.070776759
2024 Q1,0.001842865,0.084558173,0.002032851,-0.009817388,0.003815071,-0.895133942,0.002128023,-0.057093756,0.001902416,0.05497637
2024 Q2,0.001935695,0.071000263,0.002866982,-0.375953647,0.004108913,-0.971994644,0.002586239,-0.241216262,0.001907935,0.084322672
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
vintage,LLR_baseline,,,,,,,,,
2016 Q1,0.002350769,,,,,,,,,
2016 Q2,0.001798924,,,,,,,,,
2016 Q3,0.001744018,,,,,,,,,
2016 Q4,0.002433793,,,,,,,,,
2017 Q1,0.004789525,,,,,,,,,
2017 Q2,0.003920146,,,,,,,,,
2017 Q3,0.004142638,,,,,,,,,
2017 Q4,0.004602144,,,,,,,,,
2018 Q1,0.004355907,,,,,,,,,
2018 Q2,0.004385686,,,,,,,,,
2018 Q3,0.005061116,,,,,,,,,
2018 Q4,0.005448296,,,,,,,,,
2019 Q1,0.005776226,,,,,,,,,
2019 Q2,0.006560426,,,,,,,,,
2019 Q3,0.005061451,,,,,,,,,
2019 Q4,0.005393887,,,,,,,,,
2020 Q1,0.006200351,,,,,,,,,
2020 Q2,0.001055454,,,,,,,,,
2020 Q3,0.001021859,,,,,,,,,
2020 Q4,0.001054468,,,,,,,,,
2021 Q1,0.001044419,,,,,,,,,
2021 Q2,0.001801044,,,,,,,,,
2021 Q3,0.001785864,,,,,,,,,
2021 Q4,0.001739496,,,,,,,,,
2022 Q1,0.001710552,,,,,,,,,
2022 Q2,0.002269211,,,,,,,,,
2022 Q3,0.004337719,,,,,,,,,
2022 Q4,0.004472987,,,,,,,,,
2023 Q1,0.003953675,,,,,,,,,
2023 Q2,0.003306112,,,,,,,,,
2023 Q3,0.002591757,,,,,,,,,
2023 Q4,0.002714151,,,,,,,,,
2024 Q1,0.002013088,,,,,,,,,
2024 Q2,0.002083633,,,,,,,,,
