Models,LSTM + wo,,LSTM + attn + wo,,LSTM + attn,,LSTM + attn + wo + deli,,3LSTM + attn + wo + deli
vintage,AUC,,AUC,,AUC,,AUC,,AUC
2004 Q1,0.51087921,,0.943309967,,0.847698003,,0.948461688,,0.979973027
2004 Q2,0.585320433,,0.859706617,,0.939502705,,0.887234707,,0.953974199
2004 Q3,0.606408243,,0.842576521,,0.901220487,,0.845023005,,0.949758933
2004 Q4,0.638504864,,0.838197645,,0.887352791,,0.869431644,,0.935995904
2005 Q1,0.789584594,,0.754068361,,0.903337366,,0.580268199,,0.950670498
2005 Q2,0.718470313,,0.945673077,,0.862282466,,0.955288462,,0.964423077
2005 Q3,0.674746115,,0.974379243,,0.93501,,0.985613883,,0.989333277
2005 Q4,0.658840617,,0.78831378,,0.812068668,,0.807070968,,0.920203589
2006 Q1,0.541704317,,0.87485678,,0.882925425,,0.900401982,,0.966850447
2006 Q2,0.519913788,,0.86413914,,0.787319907,,0.872417267,,0.978153233
2006 Q3,0.576604099,,0.842956558,,0.78417787,,0.868558941,,0.938713356
2006 Q4,0.542626275,,0.745582963,,0.84518102,,0.760638852,,0.920830112
2007 Q1,0.5066052,,0.785496227,,0.859838184,,0.809475112,,0.940561011
2007 Q2,0.615998276,,0.804038016,,0.895696889,,0.835429764,,0.95840927
2007 Q3,0.591469142,,0.84730943,,0.904331051,,0.856770008,,0.954789062
2007 Q4,0.585846866,,0.70018848,,0.826462131,,0.724920699,,0.894794433
2008 Q1,0.514106187,,0.818219856,,0.791309223,,0.824864536,,0.924752636
2008 Q2,0.596450358,,0.797236672,,0.790441157,,0.824052866,,0.891095964
2008 Q3,0.675035229,,0.853618363,,0.859890434,,0.861478974,,0.916354046
2008 Q4,0.713841682,,0.926461277,,0.905428633,,0.927872253,,0.970978867
2009 Q1,0.682692308,,0.727564103,,0.982371795,,0.663461538,,0.975961538
2009 Q2,0.624587459,,0.795379538,,0.910891089,,0.801980198,,0.943894389
2009 Q3,0.571428571,,1,,0.705069124,,1,,1
2009 Q4,0.778905493,,0.96803653,,0.942223606,,0.97412481,,0.987062405
2010 Q1,0.527026994,,0.876276896,,0.746591321,,0.891831486,,0.989111063
2010 Q2,0.76868707,,0.96075826,,0.913083249,,0.959979479,,0.986657366
2010 Q3,0.556650246,,0.752052545,,0.81773399,,0.742200328,,0.873563218
2010 Q4,0.835365854,,1,,0.951219512,,1,,1
2011 Q1,0.809929078,,0.992907801,,0.980851064,,0.990070922,,0.995744681
2011 Q2,0.6235868,,0.879311751,,0.677109605,,0.891586674,,0.922708451
2011 Q3,0.939517082,,0.97091195,,0.946570408,,0.977201258,,0.970125786
2011 Q4,0.912457912,,1,,0.978114478,,1,,1
2012 Q1,0.674650699,,0.842315369,,0.958083832,,0.918163673,,0.94011976
2012 Q2,0.561616162,,0.767676768,,0.84040404,,0.783838384,,0.935230352
2012 Q3,0.728070175,,1,,0.528508772,,1,,1
2012 Q4,0.78041958,,0.829370629,,0.892773893,,0.759440559,,0.976689977
2013 Q1,0.745614035,,0.868421053,,0.859649123,,0.903508772,,0.894736842
2013 Q2,0.849206349,,1,,0.833333333,,1,,1
2013 Q3,0.853333333,,1,,0.993333333,,1,,1
2013 Q4,0.908629442,,1,,0.989847716,,1,,1
2014 Q1,0.85,,1,,0.947368421,,1,,1
2014 Q2,0.76,,0.9925,,0.825,,1,,1
2014 Q3,0.703389831,,0.892655367,,0.759887006,,0.926553672,,0.898305085
2014 Q4,0.9,,0.910526316,,0.955263158,,0.936842105,,0.939473684
2015 Q1,0.777142857,,0.994285714,,0.874285714,,0.994285714,,0.997142857
2015 Q2,0.837662338,,0.954545455,,0.967532468,,0.967532468,,0.915584416
2015 Q3,0.916201117,,0.983240223,,0.994413408,,0.983240223,,0.988826816
2015 Q4,0.88299193,,0.973666214,,0.985938832,,0.980257551,,0.991556986
