Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM
vintage,AUC,,AUC,,AUC,,AUC,,AUC,,AUC
2004 Q1,0.610149192,,0.592211776,,0.822239046,,0.875317702,,0.829191541,,0.979973027
2004 Q2,0.747367873,,0.761724927,,0.814284228,,0.882922389,,0.654130254,,0.953974199
2004 Q3,0.689362757,,0.770096702,,0.748937929,,0.76162906,,0.56546271,,0.949758933
2004 Q4,0.634408602,,0.674859191,,0.838709677,,0.87250384,,0.58218126,,0.935995904
2005 Q1,0.812623513,,0.855313571,,0.864377899,,0.89800363,,0.755968945,,0.950670498
2005 Q2,0.873579629,,0.87261809,,0.635408745,,0.740104928,,0.904326923,,0.964423077
2005 Q3,0.834347465,,0.83715209,,0.778130658,,0.855029316,,0.915534646,,0.989333277
2005 Q4,0.718995706,,0.723967525,,0.722999919,,0.817019341,,0.73066588,,0.920203589
2006 Q1,0.604214618,,0.59014526,,0.693417478,,0.816504915,,0.748952286,,0.966850447
2006 Q2,0.657287311,,0.65053975,,0.68381832,,0.768981096,,0.818813417,,0.978153233
2006 Q3,0.746440241,,0.743075383,,0.635473471,,0.722533771,,0.776560252,,0.938713356
2006 Q4,0.516794027,,0.554924051,,0.725462283,,0.80923572,,0.599067605,,0.920830112
2007 Q1,0.508048294,,0.554847338,,0.758058096,,0.808054734,,0.685121642,,0.940561011
2007 Q2,0.517541739,,0.557836371,,0.678865117,,0.796241022,,0.692253773,,0.95840927
2007 Q3,0.622533094,,0.609009213,,0.632419945,,0.729382766,,0.696758077,,0.954789062
2007 Q4,0.507190853,,0.527785131,,0.641518682,,0.733016655,,0.610785166,,0.894794433
2008 Q1,0.666109038,,0.651011906,,0.712588589,,0.786625302,,0.751063286,,0.924752636
2008 Q2,0.621839205,,0.60513444,,0.644000667,,0.714511068,,0.67698216,,0.891095964
2008 Q3,0.690755571,,0.688729445,,0.526970302,,0.647432182,,0.70983081,,0.916354046
2008 Q4,0.707961963,,0.6962366,,0.614331879,,0.741413802,,0.779719711,,0.970978867
2009 Q1,0.769230769,,0.903846154,,0.947115385,,0.959134615,,0.695512821,,0.975961538
2009 Q2,0.73019802,,0.749174917,,0.794554455,,0.815594059,,0.542079208,,0.943894389
2009 Q3,0.997695853,,0.997695853,,0.764976959,,0.767281106,,1,,1
2009 Q4,0.883603155,,0.875999723,,0.72144735,,0.798381071,,0.936847931,,0.987062405
2010 Q1,0.551362023,,0.539716004,,0.733840469,,0.759621097,,0.866101572,,0.989111063
2010 Q2,0.633293472,,0.682607701,,0.605681785,,0.691812827,,0.816569227,,0.986657366
2010 Q3,0.610837438,,0.697865353,,0.773399015,,0.807881773,,0.596059113,,0.873563218
2010 Q4,0.969512195,,0.957317073,,0.609756098,,0.670731707,,0.993902439,,1
2011 Q1,0.641843972,,0.633333333,,0.657446809,,0.754255319,,0.817730496,,0.995744681
2011 Q2,0.581802497,,0.633750549,,0.589472363,,0.568589623,,0.683948177,,0.922708451
2011 Q3,0.94418239,,0.941823899,,0.586116278,,0.683290519,,0.948899371,,0.970125786
2011 Q4,0.905723906,,0.893939394,,0.61321608,,0.694840871,,0.994949495,,1
2012 Q1,0.552894212,,0.730538922,,0.71257485,,0.796407186,,0.822355289,,0.94011976
2012 Q2,0.795959596,,0.781818182,,0.872727273,,0.887878788,,0.535353535,,0.935230352
2012 Q3,0.916666667,,0.989035088,,0.914473684,,0.940789474,,1,,1
2012 Q4,0.822377622,,0.888111888,,0.958041958,,0.961538462,,0.872727273,,0.976689977
2013 Q1,0.596491228,,0.833333333,,0.912280702,,0.934210526,,0.824561404,,0.894736842
2013 Q2,0.992063492,,0.984126984,,0.761904762,,0.746031746,,1,,1
2013 Q3,1,,1,,0.913333333,,0.953333333,,1,,1
2013 Q4,0.827411168,,0.829949239,,0.711402327,,0.767308954,,0.969543147,,1
2014 Q1,0.984210526,,0.981578947,,0.778947368,,0.838157895,,0.989473684,,1
2014 Q2,0.8575,,0.87,,0.53,,0.57875,,0.9675,,1
2014 Q3,0.768361582,,0.771186441,,0.508474576,,0.552259887,,0.850282486,,0.898305085
2014 Q4,0.539473684,,0.634210526,,0.642105263,,0.671052632,,0.668421053,,0.939473684
2015 Q1,0.942857143,,0.944285714,,0.731307326,,0.832448044,,0.965714286,,0.997142857
2015 Q2,0.571428571,,0.564935065,,0.642857143,,0.659090909,,0.649350649,,0.915584416
2015 Q3,0.590909091,,0.810055866,,0.659217877,,0.55027933,,0.87150838,,0.988826816
2015 Q4,0.512698713,,0.587112963,,0.712256192,,0.820894066,,0.714573536,,0.991556986
