Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM
vintage,AUC,,AUC,,AUC,,AUC,,AUC,,AUC
2016 Q1,0.939698492,,0.927135678,,0.866834171,,0.600502513,,0.899497487,,0.947236181
2016 Q2,0.832369942,,0.826589595,,0.820809249,,0.644508671,,0.809248555,,0.953757225
2016 Q3,0.818452381,,0.8125,,0.735119048,,0.758928571,,0.791666667,,0.895833333
2016 Q4,0.564527392,,0.603650451,,0.802799467,,0.891419271,,0.663660185,,0.833687763
2017 Q1,0.654771348,,0.663122407,,0.743194062,,0.715488685,,0.616718679,,0.815884445
2017 Q2,0.738126957,,0.776058703,,0.662641002,,0.836779542,,0.814577659,,0.939315147
2017 Q3,0.727659574,,0.723404255,,0.681702128,,0.628510638,,0.740425532,,0.921702128
2017 Q4,0.757408378,,0.790578546,,0.64791411,,0.794544521,,0.704705102,,0.960388679
2018 Q1,0.852158391,,0.862782608,,0.716566155,,0.631322773,,0.844260391,,0.906723188
2018 Q2,0.788583547,,0.779473835,,0.658859392,,0.529011107,,0.806183041,,0.829241461
2018 Q3,0.604197171,,0.589444444,,0.547148246,,0.616653551,,0.63356705,,0.91495756
2018 Q4,0.674705031,,0.713478875,,0.617339328,,0.500128582,,0.678569969,,0.892753213
2019 Q1,0.585233862,,0.598922014,,0.554758119,,0.558189398,,0.587994045,,0.870621243
2019 Q2,0.59730522,,0.595034415,,0.526110099,,0.655392947,,0.613011321,,0.858958352
2019 Q3,0.676061008,,0.620689655,,0.747679045,,0.848143236,,0.651414677,,0.841511936
2019 Q4,0.633820813,,0.62648448,,0.735878142,,0.853557167,,0.625338483,,0.881273412
2020 Q1,0.665651438,,0.68680203,,0.860152284,,0.933883249,,0.635279188,,0.900084602
2020 Q2,0.995633188,,0.991266376,,0.864628821,,0.574235808,,0.995633188,,0.934796778
2020 Q3,0.722943723,,0.780663781,,0.606060606,,0.80952381,,0.774891775,,0.975468975
2020 Q4,0.544095665,,0.642750374,,0.686098655,,0.894618834,,0.521674141,,0.914798206
2021 Q1,0.912863071,,0.784232365,,0.614107884,,0.856846473,,0.950207469,,0.998616874
2021 Q2,0.937398681,,0.933653362,,0.763367153,,0.849519956,,0.94488233,,0.897255297
2021 Q3,0.677677242,,0.710532293,,0.508171172,,0.897841422,,0.677730085,,0.943466242
2021 Q4,0.85762369,,0.874266155,,0.624866024,,0.932856204,,0.895761159,,0.99785292
2022 Q1,0.509035181,,0.569580668,,0.714925373,,0.956716418,,0.558721275,,0.940310353
2022 Q2,0.953146997,,0.95160451,,0.611460957,,0.956549118,,0.961120323,,0.87561056
2022 Q3,0.883105679,,0.885542702,,0.500814398,,0.92868676,,0.764339295,,0.791871265
2022 Q4,0.87646682,,0.847318912,,0.563405545,,0.620136565,,0.925924896,,0.83777821
2023 Q1,0.602371542,,0.603162055,,0.531225296,,0.895849802,,0.584189723,,0.927667984
2023 Q2,0.673893805,,0.652654867,,0.62920354,,0.546681416,,0.696902655,,0.832300885
2023 Q3,0.511178862,,0.526422764,,0.792174797,,0.945884146,,0.508130081,,0.923780488
2023 Q4,0.774372073,,0.783737761,,0.738186462,,0.837803321,,0.50617284,,0.852703278
2024 Q1,0.654434251,,0.635066259,,0.652905199,,0.853720693,,0.562181448,,0.867482161
2024 Q2,0.739263804,,0.729294479,,0.844708589,,0.834739264,,0.833588957,,0.892883436
