Models,Linear DTSM,,Linear DTSM+MEV,,DeepHit,,DeepHit+MEV,,3LSTM,,3LSTM+MEV
vintage,AUC,,AUC,,AUC,,AUC,,AUC,,AUC
2016 Q1,0.939698492,,0.939144375,,0.899497487,,0.972361809,,0.947236181,,0.954120603
2016 Q2,0.832369942,,0.843930636,,0.809248555,,0.988439306,,0.953757225,,0.971098266
2016 Q3,0.818452381,,0.8125,,0.791666667,,0.925595238,,0.895833333,,0.901785714
2016 Q4,0.564527392,,0.510484775,,0.663660185,,0.833176397,,0.833687763,,0.851520345
2017 Q1,0.654771348,,0.65613766,,0.616718679,,0.796002737,,0.815884445,,0.858630573
2017 Q2,0.738126957,,0.706423991,,0.814577659,,0.951152917,,0.939315147,,0.954578053
2017 Q3,0.727659574,,0.747234043,,0.740425532,,0.901276596,,0.921702128,,0.928510638
2017 Q4,0.757408378,,0.728701568,,0.704705102,,0.905074186,,0.960388679,,0.971559354
2018 Q1,0.852158391,,0.849242246,,0.844260391,,0.852801274,,0.906723188,,0.911410036
2018 Q2,0.788583547,,0.795679836,,0.806183041,,0.901584566,,0.829241461,,0.825814177
2018 Q3,0.604197171,,0.615057766,,0.63356705,,0.876269378,,0.91495756,,0.921279988
2018 Q4,0.674705031,,0.751405941,,0.678569969,,0.928895687,,0.892753213,,0.927917669
2019 Q1,0.585233862,,0.606812882,,0.587994045,,0.828821579,,0.870621243,,0.872857067
2019 Q2,0.59730522,,0.615530417,,0.613011321,,0.87546444,,0.858958352,,0.849986719
2019 Q3,0.676061008,,0.63615296,,0.651414677,,0.84040672,,0.841511936,,0.848543641
2019 Q4,0.633820813,,0.5846305,,0.625338483,,0.845372431,,0.881273412,,0.900451178
2020 Q1,0.665651438,,0.602876481,,0.635279188,,0.744923858,,0.900084602,,0.905160535
2020 Q2,0.995633188,,0.995633188,,0.995633188,,1,,0.934796778,,0.942453687
2020 Q3,0.722943723,,0.770562771,,0.774891775,,0.871572872,,0.975468975,,0.935064935
2020 Q4,0.544095665,,0.511210762,,0.521674141,,0.732436472,,0.914798206,,0.976083707
2021 Q1,0.912863071,,0.831258645,,0.950207469,,0.957123098,,0.998616874,,0.93637621
2021 Q2,0.937398681,,0.930844374,,0.94488233,,0.888667617,,0.897255297,,0.908428364
2021 Q3,0.677677242,,0.594217713,,0.677730085,,0.654368895,,0.943466242,,0.96797153
2021 Q4,0.85762369,,0.816794593,,0.895761159,,0.982264979,,0.99785292,,0.962420911
2022 Q1,0.509035181,,0.585074627,,0.558721275,,0.660729093,,0.940310353,,0.951498344
2022 Q2,0.953146997,,0.937055133,,0.961120323,,0.956547236,,0.87561056,,0.903808679
2022 Q3,0.883105679,,0.813980931,,0.764339295,,0.80356879,,0.791871265,,0.825683568
2022 Q4,0.87646682,,0.893865439,,0.925924896,,0.955313304,,0.83777821,,0.846532871
2023 Q1,0.602371542,,0.603162055,,0.584189723,,0.783699658,,0.927667984,,0.935478344
2023 Q2,0.673893805,,0.704867257,,0.696902655,,0.800385859,,0.832300885,,0.853660974
2023 Q3,0.511178862,,0.533028455,,0.508130081,,0.712359635,,0.923780488,,0.930679353
2023 Q4,0.774372073,,0.797360579,,0.50617284,,0.704362683,,0.852703278,,0.875684437
2024 Q1,0.654434251,,0.69011213,,0.562181448,,0.734563789,,0.867482161,,0.882583971
2024 Q2,0.739263804,,0.769171779,,0.833588957,,0.889457215,,0.892883436,,0.918436978
