Models,LSTM + wo,,LSTM + attn + wo,,LSTM + attn,,LSTM + attn + wo + deli,,3LSTM + attn + wo + deli
vintage,Brier Score,,Brier Score,,Brier Score,,Brier Score,,Brier Score
2016 Q1,0.000251776,,0.000248846,,0.000253926,,0.000249084,,0.000248547
2016 Q2,0.00018782,,0.00018609,,0.00018883,,0.000186775,,0.000187584
2016 Q3,0.000181211,,0.0001798,,0.000181549,,0.000179837,,0.000175486
2016 Q4,0.000263611,,0.000262852,,0.000263292,,0.000262887,,0.000261761
2017 Q1,0.000400799,,0.000399319,,0.00040128,,0.000397934,,0.000395627
2017 Q2,0.000449237,,0.000446754,,0.000450593,,0.000447015,,0.000440055
2017 Q3,0.000477913,,0.000474423,,0.000479247,,0.000471765,,0.00046157
2017 Q4,0.00053899,,0.000534071,,0.000539822,,0.000528578,,0.000515123
2018 Q1,0.000506809,,0.000503444,,0.000506716,,0.000501878,,0.000489025
2018 Q2,0.000508164,,0.000502302,,0.000510904,,0.00050248,,0.000495626
2018 Q3,0.000600917,,0.000595949,,0.000601096,,0.00059533,,0.000581434
2018 Q4,0.000724295,,0.000718803,,0.000725004,,0.000719402,,0.000703682
2019 Q1,0.000774346,,0.000767376,,0.000775062,,0.000767701,,0.000749816
2019 Q2,0.0008053,,0.000796707,,0.000807388,,0.000797128,,0.000779008
2019 Q3,0.000598542,,0.000591994,,0.000600895,,0.000591807,,0.000582148
2019 Q4,0.000643608,,0.000635383,,0.000645385,,0.000640553,,0.000625879
2020 Q1,0.000754888,,0.000746991,,0.00075497,,0.000743036,,0.000732917
2020 Q2,0.000103785,,0.000104482,,0.000104472,,0.00010424,,0.000103291
2020 Q3,0.000100107,,0.000100332,,0.000100365,,0.000100214,,9.82E-05
2020 Q4,0.000103532,,1.00E-04,,0.000103656,,0.000103488,,0.000103139
2021 Q1,0.000102536,,9.96E-05,,0.00010312,,0.000102525,,9.88E-05
2021 Q2,0.000187936,,0.000188274,,0.000189147,,0.000187586,,0.000187128
2021 Q3,0.000185561,,0.000185137,,0.000188596,,0.000184901,,0.000182881
2021 Q4,0.000180801,,0.000180024,,0.000181869,,0.00017757,,0.000167303
2022 Q1,0.000180632,,0.000182249,,0.000177704,,0.000178626,,0.000176493
2022 Q2,0.000246103,,0.000246179,,0.000243392,,0.000241003,,0.000233988
2022 Q3,0.000510765,,0.000508508,,0.000504814,,0.000496251,,0.000489335
2022 Q4,0.00052048,,0.000557152,,0.000523869,,0.000512464,,0.000511643
2023 Q1,0.000463664,,0.000473118,,0.000455057,,0.000448341,,0.000437231
2023 Q2,0.000382463,,0.000379383,,0.000374552,,0.000370327,,0.000364051
2023 Q3,0.000295493,,0.000324918,,0.000286571,,0.00028197,,0.000280692
2023 Q4,0.000310647,,0.000364869,,0.000301221,,0.000297316,,0.000305322
2024 Q1,0.000212786,,0.000218492,,0.00022081,,0.000212574,,0.000224951
2024 Q2,0.000221167,,0.000256827,,0.000232112,,0.000223065,,0.000243603
