Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM
vintage,AUC,,AUC,,AUC,,AUC,,AUC,,AUC
2016 Q1,0.000252324,,0.000252298,,0.000253043,,0.00025327,,0.000252748,,0.000248547
2016 Q2,0.00018845,,0.000189369,,0.000187916,,0.000187829,,0.000188211,,0.000187584
2016 Q3,0.000181553,,0.000181918,,0.000181325,,0.000181469,,0.000181898,,0.000175486
2016 Q4,0.000263441,,0.000263438,,0.000263072,,0.000263369,,0.000263631,,0.000261761
2017 Q1,0.000399758,,0.000399877,,0.00040024,,0.000400058,,0.000399471,,0.000395627
2017 Q2,0.000448772,,0.000448607,,0.000449987,,0.000450085,,0.000447869,,0.000440055
2017 Q3,0.000477281,,0.000476671,,0.000478857,,0.000479022,,0.000478261,,0.00046157
2017 Q4,0.000533682,,0.000534769,,0.000539435,,0.000539606,,0.000533617,,0.000515123
2018 Q1,0.000502914,,0.000504273,,0.000506767,,0.000507015,,0.000504212,,0.000489025
2018 Q2,0.000511531,,0.000512346,,0.000510279,,0.000510941,,0.000511198,,0.000495626
2018 Q3,0.000600264,,0.000600531,,0.000601075,,0.000600975,,0.000600616,,0.000581434
2018 Q4,0.000725668,,0.0006551,,0.000652914,,0.000653412,,0.000724686,,0.000703682
2019 Q1,0.000772638,,0.000697554,,0.00079791,,0.000798319,,0.000771833,,0.000749816
2019 Q2,0.000802559,,0.000802965,,0.00080642,,0.000807293,,0.000804599,,0.000779008
2019 Q3,0.000600396,,0.000600418,,0.000600932,,0.00060114,,0.000599632,,0.000582148
2019 Q4,0.000644623,,0.000645155,,0.000645877,,0.000646146,,0.000644711,,0.000625879
2020 Q1,0.000752601,,0.000754106,,0.000757148,,0.000757203,,0.000750898,,0.000732917
2020 Q2,0.000102627,,0.000102607,,0.00010379,,0.000103857,,0.000101298,,0.000103291
2020 Q3,0.000100149,,0.000100308,,0.000100121,,0.000100229,,0.000100201,,9.82E-05
2020 Q4,0.000103644,,0.000103674,,0.000103675,,0.000103775,,0.000103685,,0.000103139
2021 Q1,0.000102583,,0.00010271,,0.00010253,,0.000102667,,0.000102598,,9.88E-05
2021 Q2,0.000188012,,0.000188067,,0.00018802,,0.000188034,,0.000188049,,0.000187128
2021 Q3,0.000186384,,0.00018644,,0.000186272,,0.000186271,,0.000186502,,0.000182881
2021 Q4,0.000179197,,0.00017849,,0.000180821,,0.000180895,,0.000178525,,0.000167303
2022 Q1,0.000178363,,0.000178339,,0.000177775,,0.000177715,,0.000187294,,0.000176493
2022 Q2,0.000236127,,0.000234099,,0.000324424,,0.00032432,,0.000237572,,0.000233988
2022 Q3,0.000487509,,0.000484603,,0.000505344,,0.000504963,,0.000491969,,0.000489335
2022 Q4,0.000513501,,0.00051899,,0.000523408,,0.000522433,,0.000511627,,0.000511643
2023 Q1,0.000450791,,0.000458553,,0.00045526,,0.000454451,,0.000459086,,0.000437231
2023 Q2,0.000371396,,0.000378429,,0.000372892,,0.000371381,,0.000370763,,0.000364051
2023 Q3,0.000287591,,0.000297254,,0.000285194,,0.000282488,,0.000289566,,0.000280692
2023 Q4,0.000304543,,0.000324792,,0.000300428,,0.000297492,,0.000302324,,0.000305322
2024 Q1,0.00021565,,0.000224313,,0.000214196,,0.000212868,,0.000218275,,0.000224951
2024 Q2,0.000224295,,0.000230254,,0.000222893,,0.000221207,,0.000226166,,0.000243603
