,,2004-2015,,,,,2016-2024,,,,,
Row,Model,PRS,AUC,BS,DR,EAD,PRS,AUC,BS,DR,EAD,
1,Cox PH,0.000344 ,0.719 ,0.000410 ,0.0175 ,21.0 ,-0.0154 ,0.682 ,0.000382 ,0.0175 ,21.0 ,
2,Weibull,-0.214 ,0.776 ,0.000411 ,0.0392 ,7.46 ,-0.0291 ,0.770 ,0.000382 ,0.0196 ,23.2 ,
3,Linear DTSM,0.119 ,0.730 ,0.000405 ,,,0.0647 ,0.733 ,0.000379 ,,,
4,GAM,0.112 ,0.755 ,0.000406 ,0.0178 ,11.2 ,0.00025 ,0.738 ,0.000377 ,0.00900 ,31.8 ,
5,DeepHit,0.140 ,0.793 ,0.000405 ,,,-0.00183 ,0.729 ,0.000379 ,,,
6,LSTM+wo,0.0329 ,0.698 ,0.000407 ,,,0.0791 ,0.680 ,0.000382 ,,,
7,LSTM+attn,0.0508 ,0.875 ,0.000421 ,,,-0.0479 ,0.816 ,0.000382 ,,,
8,LSTM+wo+attn,0.268 ,0.890 ,0.000399 ,,,0.140 ,0.794 ,0.000384 ,,,
9,LSTM+wo+attn+deli,0.293 ,0.896 ,0.000398 ,0.0137 ,9.58 ,0.183 ,0.823 ,0.000377 ,0.00930 ,27.0 ,
10,3LSTM,0.501 ,0.959 ,0.000366 ,,,0.360 ,0.899 ,0.000372 ,,,
11,3LSTM (unbalanced),,,,,,0.0376 ,0.736 ,0.000381 ,,,
12,Linear DTSM + MEVs,0.119 ,0.765 ,0.000405 ,0.0191 ,13.6 ,0.118 ,0.729 ,0.000372 ,0.0108 ,35.1 ,
13,DeepHit + MEVs,0.229 ,0.859 ,0.000403 ,0.0124 ,10.8 ,0.117 ,0.855 ,0.000371 ,0.0125 ,37.4 ,
14,3LSTM + MEVs,0.524 ,0.964 ,0.000362 ,0.0083 ,9.19 ,0.406 ,0.909 ,0.000364 ,0.0047 ,19.8 ,
,,,,,,,,,,,,
,,,,,,,,,,,,
