Models,LSTM + wo,,LSTM + attn + wo,,LSTM + attn,,LSTM + attn + wo + deli,,3LSTM + attn + wo + deli,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2004 Q1,0.004373308,-0.015430468,0.002815832,0.346196928,0.003957713,0.081065825,0.002684026,0.376800838,0.001967259,0.543225582
2004 Q2,0.004125194,0.050176717,0.003452152,0.205144077,0.003758586,0.13458792,0.003335609,0.231978201,0.00263782,0.392643499
2004 Q3,0.00404779,0.001937931,0.003180384,0.215813966,0.003851525,0.050331135,0.003158413,0.22123144,0.002210377,0.454988195
2004 Q4,0.00414351,0.039766205,0.003341416,0.225646581,0.004020228,0.068335982,0.003195465,0.259469968,0.002259588,0.47635398
2005 Q1,0.004485517,0.03093218,0.003515392,0.240521579,0.004313852,0.068019375,0.003433168,0.258285688,0.002592572,0.439891239
2005 Q2,0.004371254,0.047609754,0.003580562,0.219882412,0.004434615,0.033804849,0.003538739,0.228994531,0.003026258,0.340651836
2005 Q3,0.004587307,0.062448734,0.003253253,0.335101863,0.004311386,0.118841348,0.003118371,0.362669058,0.001962179,0.598970993
2005 Q4,0.005501559,0.034376338,0.004355336,0.235559233,0.005485847,0.03713403,0.004208547,0.261323389,0.002983158,0.476401449
2006 Q1,0.006269784,0.037242561,0.004547713,0.301675398,0.006103669,0.062750262,0.004355927,0.331125088,0.003069278,0.528696682
2006 Q2,0.006037893,0.059434283,0.004689762,0.269442304,0.005982672,0.068036496,0.004546803,0.291711984,0.003035699,0.527107536
2006 Q3,0.006662458,0.013832953,0.005349143,0.208227871,0.006632688,0.018239376,0.005199989,0.230305444,0.003716227,0.44992968
2006 Q4,0.007355164,0.017028864,0.005977217,0.201182731,0.006987966,0.066102535,0.005818601,0.222380757,0.003960906,0.470649983
