Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2016 Q1,0.001971168,0.161479834,0.002019701,0.14083394,0.002194745,0.066371325,0.002394039,-0.018406924,0.001980742,0.157406962,0.001432251,0.390731066
2016 Q2,0.001880599,-0.045402089,0.00194103,-0.078994778,0.001906638,-0.059876862,0.001907013,-0.060085618,0.00187615,-0.04292884,0.001362187,0.242776797
2016 Q3,0.001700663,0.024859333,0.001723869,0.01155336,0.0016921,0.029769134,0.001875326,-0.075290571,0.001701183,0.024561277,0.001015297,0.417840462
2016 Q4,0.002306632,0.052247914,0.002303687,0.053458238,0.002256277,0.072938012,0.002526481,-0.038083923,0.002264729,0.069465424,0.001638325,0.32684295
2017 Q1,0.00335723,0.299047506,0.003407162,0.288622191,0.003525991,0.263811993,0.003484381,0.272499665,0.003310149,0.308877383,0.002405387,0.497781644
2017 Q2,0.003473293,0.113988984,0.003497173,0.107897304,0.003803166,0.029840607,0.003883383,0.009378033,0.003407315,0.130819436,0.00262617,0.330083654
2017 Q3,0.003783242,0.086755405,0.003716322,0.10290941,0.00396423,0.043066174,0.004074756,0.016386253,0.003813521,0.079446202,0.002434621,0.412301754
2017 Q4,0.003858454,0.161596543,0.003842574,0.165047026,0.004366438,0.051216617,0.004573106,0.006309573,0.003838356,0.165963536,0.002504455,0.455806948
2018 Q1,0.003733309,0.142931828,0.003809322,0.125481219,0.00410614,0.057339775,0.004295685,0.013825426,0.003782333,0.131677356,0.002536449,0.417699077
2018 Q2,0.004060767,0.074086208,0.004177593,0.047448228,0.004040623,0.07867942,0.004325076,0.013819887,0.00398975,0.090279197,0.002680857,0.388725784
2018 Q3,0.004843229,0.043051153,0.004854598,0.040804864,0.004950866,0.02178379,0.005014093,0.009291078,0.004836202,0.044439582,0.00301468,0.404344734
2018 Q4,0.005565335,-0.021481841,0.005117112,0.060786645,0.005174305,0.050289279,0.00539155,0.010415365,0.005575836,-0.02340923,0.003697002,0.321438846
2019 Q1,0.005205372,0.098828125,0.005221207,0.096086772,0.005521222,0.044147167,0.005757109,0.003309565,0.005656185,0.020781971,0.003889086,0.326708192
2019 Q2,0.005897628,0.101029627,0.005926093,0.096690866,0.006148281,0.062822859,0.006616155,-0.008494676,0.005887256,0.10261067,0.004000169,0.390257754
2019 Q3,0.004750363,0.061462261,0.004781633,0.055284139,0.00489539,0.032808963,0.005140984,-0.015713515,0.004642545,0.082764096,0.002881965,0.430604926
2019 Q4,0.005073015,0.059488083,0.005140135,0.047044348,0.005241149,0.028316961,0.005487971,-0.017442695,0.005034519,0.066624986,0.003208347,0.405188328
2020 Q1,0.005578491,0.100294315,0.00572164,0.077207047,0.006321193,-0.019489499,0.006472961,-0.043966851,0.005598758,0.097025667,0.003642163,0.412587621
2020 Q2,0.000735887,0.302776334,0.000775589,0.26516122,0.001094984,-0.037452806,0.00124128,-0.176062417,0.00066442,0.370489377,0.000713803,0.32370093
2020 Q3,0.0009848,0.036266262,0.001031172,-0.009113367,0.001056293,-0.033697549,0.001235305,-0.208879824,0.000973665,0.047162776,0.000579961,0.432445452
2020 Q4,0.001007101,0.044919675,0.0010102,0.041981519,0.001097976,-0.041260286,0.001265841,-0.200454648,0.001019047,0.033591655,0.000680034,0.355092846
